student_id,"How many minutes is your typical commute (one way)? *this includes walking, biking, driving, or public transit time",How many hours per week do you typically work?,How many credits are you enrolled in this semester?,How many lab courses are you enrolled in this semester?
1,0-15 mins,21-30 ,6,1
2,0-15 mins,11-20,18,2
5,0-15 mins,0,15,2
6,16-30 mins,11-20,16,1
7,0-15 mins,1-10,16,2
9,31-45 mins,11-20,15,2
12,0-15 mins,0,18,2
13,0-15 mins,0,13,2
15,16-30 mins,1-10,17,1
20,16-30 mins,0,17,0
25,16-30 mins,1-10,14,2
26,0-15 mins,0,16,2
30,16-30 mins,1-10,18,0
31,0-15 mins,0,14,0
33,46-60 mins,31-40 ,15,2
36,0-15 mins,11-20,17,2
38,0-15 mins,11-20,12,2
39,0-15 mins,1-10,14,1
40,0-15 mins,0,15,1
42,0-15 mins,0,17,0
43,0-15 mins,11-20,16,2
44,31-45 mins,0,17,1
46,0-15 mins,11-20,16,0
47,0-15 mins,0,17,1
50,> Hour,21-30 ,16,1
51,0-15 mins,0,15,1
52,16-30 mins,0,13,3 or more
53,0-15 mins,0,17,1
55,16-30 mins,1-10,16,0
57,16-30 mins,21-30 ,16,2
59,16-30 mins,11-20,16,1
60,16-30 mins,11-20,16,1
62,31-45 mins,1-10,14,2
64,0-15 mins,1-10,14,1
65,0-15 mins,1-10,18,0
67,0-15 mins,1-10,13,0
68,16-30 mins,11-20,13,1
70,16-30 mins,1-10,19,1
73,16-30 mins,0,18,1
74,16-30 mins,1-10,17,2
76,31-45 mins,0,14,1
77,0-15 mins,1-10,19,0
78,31-45 mins,0,15,2
80,0-15 mins,11-20,16,2
86,16-30 mins,0,13,0
87,0-15 mins,21-30 ,17,0
89,16-30 mins,11-20,17,1
90,0-15 mins,0,18,0
91,0-15 mins,21-30 ,14,1
92,0-15 mins,0,18,1
93,0-15 mins,1-10,17,2
96,16-30 mins,11-20,18,0
99,0-15 mins,11-20,16,1
100,0-15 mins,0,15,0
102,0-15 mins,1-10,18,0
103,16-30 mins,21-30 ,15,0
105,0-15 mins,21-30 ,15,0
106,0-15 mins,1-10,15,0
107,0-15 mins,11-20,18,0
108,16-30 mins,1-10,15,0
115,31-45 mins,0,19,0
122,16-30 mins,0,17,1
123,16-30 mins,0,16,0
124,0-15 mins,1-10,17,1
126,0-15 mins,0,16,0
127,0-15 mins,0,18,0
128,0-15 mins,0,18,0
133,0-15 mins,1-10,18,0
137,16-30 mins,0,15,2
139,0-15 mins,0,17,1
140,0-15 mins,11-20,13,1
142,0-15 mins,1-10,15,1
143,0-15 mins,1-10,14,2
144,16-30 mins,0,14,2
147,0-15 mins,0,14,2
149,0-15 mins,11-20,16,3 or more
150,16-30 mins,1-10,17,2
153,0-15 mins,0,15,2
154,0-15 mins,1-10,17,2
158,16-30 mins,0,17,1
161,0-15 mins,0,18,1
162,0-15 mins,11-20,17,2
163,16-30 mins,0,18,1
165,16-30 mins,0,17,2
166,31-45 mins,0,15,2
167,0-15 mins,1-10,19,2
169,16-30 mins,0,17,2
175,46-60 mins,0,12,3 or more
179,16-30 mins,11-20,15,0
180,0-15 mins,0,16,2
181,0-15 mins,21-30 ,14,2
182,0-15 mins,0,15,1
187,0-15 mins,0,17,0
191,0-15 mins,0,1,2
195,0-15 mins,0,18,2
199,0-15 mins,0,16,0
201,0-15 mins,11-20,13,0
205,0-15 mins,0,15,0
207,0-15 mins,0,15,0
209,0-15 mins,1-10,15,0
210,0-15 mins,1-10,15,2
211,0-15 mins,1-10,15,0
217,0-15 mins,0,15,0
218,0-15 mins,0,5,1
219,0-15 mins,1-10,14,1
222,16-30 mins,0,15,2
226,0-15 mins,11-20,15,0
228,0-15 mins,0,14,3 or more
229,0-15 mins,0,15,0
231,0-15 mins,11-20,17,2
238,0-15 mins,0,15,0
239,0-15 mins,0,17,2
241,0-15 mins,0,16,2
243,0-15 mins,0,17,2
244,46-60 mins,1-10,18,2
245,> Hour,0,14,2
252,16-30 mins,0,14,1
253,0-15 mins,0,16,2
256,0-15 mins,0,13,0
261,31-45 mins,0,14,0
262,0-15 mins,0,14,2
264,46-60 mins,0,16,0
268,0-15 mins,0,12,0
270,0-15 mins,0,16,0
272,16-30 mins,0,15,2
276,0-15 mins,0,16,0
278,0-15 mins,0,12,2
280,0-15 mins,0,15,0
283,0-15 mins,0,16,0
286,0-15 mins,0,16,0
294,0-15 mins,0,12,2
295,16-30 mins,1-10,14,0
297,0-15 mins,0,13,0
298,0-15 mins,0,15,2
301,0-15 mins,0,14,2
302,0-15 mins,0,14,2
304,0-15 mins,0,15,2
305,16-30 mins,0,16,0
306,0-15 mins,0,18,1
310,0-15 mins,0,14,1
313,16-30 mins,11-20,15,1
315,0-15 mins,0,16,0
319,0-15 mins,11-20,18,0
320,0-15 mins,1-10,16,1
321,0-15 mins,0,13,0
323,16-30 mins,0,14,1
325,16-30 mins,11-20,16,1
328,0-15 mins,0,15,0
330,16-30 mins,11-20,16,0
331,0-15 mins,0,16,0
332,46-60 mins,0,17,0
336,0-15 mins,0,12,1
338,0-15 mins,0,10,0
340,0-15 mins,0,13,1
342,0-15 mins,0,17,0
343,0-15 mins,0,15,1
346,0-15 mins,0,13,2
348,0-15 mins,1-10,12,0
349,0-15 mins,0,17,1
352,0-15 mins,0,18,0
354,0-15 mins,0,17,1
355,0-15 mins,0,14,0
356,0-15 mins,11-20,13,0
358,0-15 mins,0,15,3 or more
359,> Hour,0,14,2
360,0-15 mins,1-10,16,0
361,31-45 mins,11-20,13,0
362,0-15 mins,0,15,2
365,0-15 mins,0,14,2
366,0-15 mins,0,12,0
370,0-15 mins,0,14,0
373,0-15 mins,0,14,1
376,0-15 mins,11-20,20,1
378,16-30 mins,0,16,2
379,46-60 mins,0,14,2
381,0-15 mins,1-10,16,1
383,0-15 mins,1-10,17,2
384,46-60 mins,1-10,15,2
386,16-30 mins,11-20,12,1
388,31-45 mins,1-10,14,2
393,16-30 mins,0,15,0
394,0-15 mins,0,16,0
397,0-15 mins,0,13,0
398,16-30 mins,1-10,18,1
400,0-15 mins,0,15,2
